Date,Open,High,Low,Close,Volume,Market Cap
"Jan 06, 2017",0.00029,0.000291,0.00024,0.000256,"68,197","6,392,490"
"Jan 05, 2017",0.000295,0.000337,0.000244,0.000284,"239,972","6,493,310"
"Jan 04, 2017",0.000253,0.000289,0.000243,0.000285,"128,132","5,564,380"
"Jan 03, 2017",0.000238,0.000254,0.000237,0.000253,"50,171","5,230,440"
"Jan 02, 2017",0.00023,0.00025,0.000229,0.000238,"42,093","5,042,000"
"Jan 01, 2017",0.000242,0.000246,0.00022,0.00023,"43,397","5,289,400"
"Dec 31, 2016",0.000234,0.000249,0.000229,0.000242,"36,701","5,122,660"
"Dec 30, 2016",0.000214,0.000254,0.000213,0.000242,"148,828","4,668,430"
"Dec 29, 2016",0.000206,0.000222,0.000203,0.000214,"27,161","4,491,410"
"Dec 28, 2016",0.000213,0.000217,0.000204,0.000206,"35,730","4,631,110"
"Dec 27, 2016",0.000209,0.000215,0.000201,0.000206,"14,307","4,550,320"
"Dec 26, 2016",0.000213,0.000217,0.000207,0.000209,"11,989","4,623,450"
"Dec 25, 2016",0.000212,0.000215,0.000201,0.000207,"20,414","4,596,600"
"Dec 24, 2016",0.000201,0.00022,0.000191,0.000212,"33,417","4,353,630"
"Dec 23, 2016",0.000204,0.000217,0.000193,0.000201,"52,867","4,418,810"
"Dec 22, 2016",0.000218,0.000223,0.000203,0.000204,"53,217","4,713,630"
"Dec 21, 2016",0.000214,0.000221,0.000203,0.000218,"34,977","4,613,320"
"Dec 20, 2016",0.000214,0.000219,0.000206,0.000214,"23,294","4,608,160"
"Dec 19, 2016",0.000205,0.000222,0.000205,0.000214,"31,415","4,407,730"
"Dec 18, 2016",0.000201,0.000211,0.000198,0.000205,"21,640","4,316,230"
"Dec 17, 2016",0.000211,0.000222,0.0002,0.000201,"25,672","4,530,700"
"Dec 16, 2016",0.000219,0.000224,0.000211,0.000216,"25,053","4,684,750"
"Dec 15, 2016",0.000226,0.000229,0.000218,0.000219,"21,840","4,820,720"
"Dec 14, 2016",0.000227,0.000233,0.000219,0.00023,"25,072","4,836,720"
"Dec 13, 2016",0.000225,0.000238,0.000221,0.000227,"18,654","4,795,190"
"Dec 12, 2016",0.00023,0.000233,0.000216,0.000225,"30,009","4,900,960"
"Dec 11, 2016",0.000244,0.000263,0.000224,0.00023,"37,905","5,179,140"
"Dec 10, 2016",0.000216,0.000269,0.000216,0.000238,"124,224","4,574,570"
"Dec 09, 2016",0.000209,0.000224,0.0002,0.000216,"31,497","4,424,660"
"Dec 08, 2016",0.000201,0.000216,0.000199,0.000209,"20,720","4,236,870"
"Dec 07, 2016",0.000186,0.000221,0.000186,0.000201,"27,750","3,913,850"
"Dec 06, 2016",0.0002,0.000204,0.000185,0.000186,"34,191","4,216,310"
"Dec 05, 2016",0.000209,0.000214,0.000191,0.0002,"19,728","4,396,240"
"Dec 04, 2016",0.000215,0.000224,0.000204,0.000204,"23,939","4,513,880"
"Dec 03, 2016",0.000194,0.000236,0.000194,0.000215,"61,116","4,056,690"
"Dec 02, 2016",0.00021,0.00021,0.000182,0.000194,"60,893","4,394,740"
"Dec 01, 2016",0.000219,0.000222,0.000204,0.000205,"45,876","4,587,110"
"Nov 30, 2016",0.000232,0.000235,0.000215,0.000224,"35,469","4,848,460"
"Nov 29, 2016",0.000238,0.000242,0.000227,0.000236,"33,028","4,956,350"
"Nov 28, 2016",0.000244,0.000244,0.000233,0.000233,"17,456","5,073,470"
"Nov 27, 2016",0.000244,0.000253,0.000235,0.000244,"18,612","5,082,730"
"Nov 26, 2016",0.000253,0.000258,0.000244,0.000244,"23,589","5,254,600"
"Nov 25, 2016",0.000251,0.000264,0.000245,0.000255,"40,898","5,199,730"
"Nov 24, 2016",0.000272,0.00028,0.000239,0.000245,"61,111","5,637,670"
"Nov 23, 2016",0.000279,0.000287,0.000268,0.000272,"33,603","5,764,230"
"Nov 22, 2016",0.000282,0.000287,0.000274,0.000279,"38,033","5,815,400"
"Nov 21, 2016",0.000279,0.000293,0.000275,0.000276,"38,307","5,738,740"
"Nov 20, 2016",0.000286,0.000289,0.000275,0.000278,"38,556","5,874,280"
"Nov 19, 2016",0.000287,0.000293,0.000281,0.000286,"28,673","5,899,800"
"Nov 18, 2016",0.000298,0.000306,0.000282,0.000287,"36,841","6,122,400"
"Nov 17, 2016",0.000295,0.000307,0.000283,0.000295,"91,303","6,047,870"
"Nov 16, 2016",0.000314,0.00032,0.000294,0.000295,"55,123","6,419,360"
"Nov 15, 2016",0.000329,0.000332,0.000313,0.000314,"30,665","6,706,040"
"Nov 14, 2016",0.000327,0.000329,0.000316,0.000324,"45,933","6,665,290"
"Nov 13, 2016",0.000331,0.000336,0.000316,0.000321,"46,028","6,720,930"
"Nov 12, 2016",0.000321,0.000336,0.000316,0.00033,"44,148","6,503,540"
"Nov 11, 2016",0.000316,0.000328,0.000311,0.000321,"34,444","6,399,040"
"Nov 10, 2016",0.000324,0.00034,0.000315,0.000316,"26,229","6,554,530"
"Nov 09, 2016",0.000345,0.000351,0.000313,0.000324,"87,839","6,949,920"
"Nov 08, 2016",0.000348,0.000354,0.000336,0.000341,"44,058","7,008,160"
"Nov 07, 2016",0.000351,0.000361,0.000347,0.000348,"41,400","7,061,060"
"Nov 06, 2016",0.00036,0.000369,0.00035,0.000351,"32,105","7,232,830"
"Nov 05, 2016",0.000353,0.000368,0.000349,0.00036,"44,574","7,090,680"
"Nov 04, 2016",0.000361,0.000378,0.000344,0.000353,"89,342","7,233,630"
"Nov 03, 2016",0.000369,0.000378,0.000347,0.000361,"54,079","7,382,520"
"Nov 02, 2016",0.000354,0.000379,0.000353,0.000368,"42,597","7,091,660"
